parameter,bin_no,bin_min,bin_max,bin_freq,bin_mean
TP,1,0.000,0.009,14,0.007
TP,2,0.009,0.012,13,0.010
TP,3,0.012,0.015,13,0.014
TP,4,0.015,0.018,14,0.016
TP,5,0.018,0.019,12,0.018
TP,6,0.019,0.023,12,0.021
TP,7,0.023,0.030,13,0.026
TP,8,0.030,0.037,12,0.033
TP,9,0.037,0.047,12,0.042
TP,10,0.047,0.057,12,0.052
TP,11,0.057,0.065,12,0.061
TP,12,0.065,0.093,12,0.079
TP,13,0.093,0.108,12,0.100
TP,14,0.108,0.163,11,0.135
TP,15,0.163,0.556,11,0.360
NO3,1,0.000,0.085,12,0.068
NO3,2,0.085,0.120,13,0.103
NO3,3,0.120,0.175,13,0.148
NO3,4,0.175,0.237,13,0.206
NO3,5,0.237,0.295,13,0.266
NO3,6,0.295,0.368,13,0.331
NO3,7,0.368,0.413,12,0.390
NO3,8,0.413,0.556,12,0.485
NO3,9,0.556,0.640,12,0.598
NO3,10,0.640,0.708,12,0.674
NO3,11,0.708,0.979,12,0.844
NO3,12,0.979,1.125,13,1.052
NO3,13,1.125,1.470,12,1.298
NO3,14,1.470,1.865,12,1.668
NO3,15,1.865,5.663,11,3.764
